commit,kind,telemetry_sensitive_diff,retained_paths,absent_paths,classification,subject
a2e698e36674c26ac4a6aecf7ab14883261f8762,change,no,1,0,retained/mixed; audit merged runtime,Satisfy journal CLI warning gate
fde00426871ee7af16be49b7c4bd7e307126e6a9,change,no,1,0,retained/mixed; audit merged runtime,Test checkpoint capture with public terminal IDs
7cc56951fde38d738a2c9366771074ce78c20791,change,no,2,0,retained/mixed; audit merged runtime,Resolve checkpoint terminals by public identity
e66472146eab1444decf5f06f22ad7c3bea67154,change,no,66,4,retained/mixed; audit merged runtime,Implement client-local terminal multiview architecture
feccd2f69823364305fb99db3b4edb811c4668de,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
d7286996facfd69615f04ea2f88487ed2ca94e0b,change,no,4,0,retained/mixed; audit merged runtime,Harden terminal multiview lifecycle
d6cb0884509c73587d22b9d9ca09929549d8becc,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
c86144508de721d14bbd0f97deec38ddaed1204c,change,no,28,2,retained/mixed; audit merged runtime,Complete terminal multiview lifecycle contracts
684ad0f7dc6c70464c9ccd734da145b54d950706,change,no,3,0,retained/mixed; audit merged runtime,Fix projected terminal response and close
71f2a5aaf69415d9f9ab4b140595970e21c686a2,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
6f783b4ec90d94aeaf900bc01cbd4b021dd77244,change,no,1,0,retained/mixed; audit merged runtime,Document terminal project in CLI help
35974b46a9ec3e341dd8ad18d8b0b0276652578e,change,no,1,0,retained/mixed; audit merged runtime,Document terminal projection resource path
56fb9aca77ce0ce9e5f3012e6c8ca5c621e35f8c,change,no,6,0,retained/mixed; audit merged runtime,Align lifecycle docs with terminal projections
962bdfd035d04bea46823a55268c688632a8f65d,change,no,2,0,retained/mixed; audit merged runtime,Test enhanced prefix split routing regression
ea1e38db678a80675e71fd2626d5f7e8803d4a69,change,no,37,1,retained/mixed; audit merged runtime,Implement client-local terminal projections
9349df26ad17962216ef0c1c94306c5752b421ed,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
9f433018c4aa8a3658aae4622cd3c7d7b2536535,change,no,1,0,retained/mixed; audit merged runtime,test(tui): cover legacy workspace selection recovery
e88b100593cd352281767566a06ddf5d32b9d8d3,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): seed legacy compatibility workspace
3019323812a76fe08d4b5e7701a6190e6fc38809,change,no,2,0,retained/mixed; audit merged runtime,test(tui): reproduce slow-client output failures
df719a1857b04a5fddd53befa756ed8bdcca49bf,change,no,4,0,retained/mixed; audit merged runtime,fix(tui): keep slow client projections current
84f5755b5681fde70adc7490fc8c496a6f1da7bc,change,no,2,0,retained/mixed; audit merged runtime,Fix cmux ssh startup script syntax error in no-progress retry loop (#9425)
06bc29603c8d9f95ddaa8240552d967f5b4d5198,change,no,3,1,retained/mixed; audit merged runtime,Fail iOS workflow when selected filter runs zero tests (#9404)
786a077bc39631cfadc72d02efa3c8636b8e003c,change,no,1,0,retained/mixed; audit merged runtime,test: cover stale destructive surface targets
bd89d1c16ca86d1c7c96786c83346a2cfc6a482d,change,no,12,0,retained/mixed; audit merged runtime,fix: fail closed for stale destructive surface targets
5e35ff0c4a39d0dffeff6d0f4e45d9e18d5a1854,change,no,16,0,retained/mixed; audit merged runtime,fix: harden explicit destructive surface targeting
63c8c28288668efa9b3bb81022a9d6c49cd9c445,change,no,3,0,retained/mixed; audit merged runtime,fix: complete explicit surface review coverage
42d4f0412640e11a3797113e1c32dbeb48e3c236,merge topology,no,0,0,topology; see constituent changes,Merge pull request #9422 from manaflow-ai/fix-close-surface-nonexistent-ref-fallthrough
2d709e87b7f3995bad17649768f0ce0094912f43,change,yes,1,0,retained/mixed; audit merged runtime,Test embedded GhosttyKit excludes native Sentry
1d48844494e21556c17a47f998964a69fd5610ab,change,yes,10,1,retained/mixed; audit merged runtime,Disable Ghostty native Sentry in cmux builds
b0b96e7b34d7cee4551df1fd3b0c0398335995c0,change,no,1,0,retained/mixed; audit merged runtime,Fix Swift Testing diagnostic type
67d4fc12e19dc6f3797636ec665536f29da73d85,merge topology,no,0,0,topology; see constituent changes,Merge pull request #9436 from manaflow-ai/issue-9431-intel-sentry-init-crash
35a397355cee6fd20a7538f84574e319fdbd6847,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
610a7c96925459db79653fb62dc04eca2aaf0250,change,no,1,0,retained/mixed; audit merged runtime,test(tui): move backpressure fixtures into workers
cd91e0a66051dc21fcfe12ccebbb638e2a0ba876,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce modifier prefix cancellation
1e96971e62b6dcaa63cb5c362f2c27f251bd42bc,change,no,2,0,retained/mixed; audit merged runtime,fix(tui): keep modifiers outside semantic input
ddd4a01bc5d8ebac19643930f5fd7d40e85f1534,change,yes,2,0,retained/mixed; audit merged runtime,Bump version to 0.64.22 (#9442)
053ba0291cdcd6b886dd28a5277a3e2b9abecd4d,change,no,61,6,retained/mixed; audit merged runtime,Publish four SDKs without taking over cmux CLI packages (#9376)
1927f130f61c45ec2a5bd05fe57b10e14cac0963,change,yes,12,116,retained/mixed; audit merged runtime,Make iOS workspace groups and reconnect dogfood-ready (#9326)
d6dd4aa32ebbf9183b86adf1acba7c2a2481eae7,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
e9e476bb160f5c202b26c4bd880238eb8ac52a76,change,no,5,0,retained/mixed; audit merged runtime,test(tui): reproduce Ctrl-D exit topology leak
bc9b31b49c178124601fb50222663e2701d7521e,change,no,14,0,retained/mixed; audit merged runtime,fix(tui): atomically detach exited terminal views
826f11302b6256d30b42fc68ac1cb6bd2c4cd24a,merge topology,no,0,0,topology; see constituent changes,Merge branch 'feat-terminal-multiview' into feat-cmux-tui-session-journal
ddb3aaac9e611f0468c4d54caf435a0006ffaafa,change,no,1,0,retained/mixed; audit merged runtime,Test journal convergence with terminal multiview
ab63d93d3cf42198c9621d09c27a2de5a799adca,change,no,1,0,retained/mixed; audit merged runtime,Test journal receipt isolation by origin
4c6abe344d0761724373d6c76874c9b38e2ff709,change,no,31,2,retained/mixed; audit merged runtime,Implement fast session journal hooks and replay
f0d97ed45c8d1ccdb30796c349a0450c678d05d1,change,no,1,0,retained/mixed; audit merged runtime,Test journal restore preview result contract
996476db96d8ab0b5a2b637c1551b4c58573a3b4,change,no,0,1,excluded or superseded paths,Fix journal restore preview result schema
80776b6d1f56a4e8f7c7a58be60adcbfa9b085fe,change,no,1,0,retained/mixed; audit merged runtime,Test journal hook list filter contract
4951cb8e3b17a7f1127daf250e9d5b8f0aea18f5,change,no,1,0,retained/mixed; audit merged runtime,Omit absent journal hook filters from results
2cf5e616ac7c18957afffed0ddf4e74a51155c3a,change,no,1,0,retained/mixed; audit merged runtime,Test journal retries across CLI reconnects
48f779bda79e37d589c05ce99ae6f04aced72cb9,change,no,2,0,retained/mixed; audit merged runtime,Keep journal idempotency stable across reconnects
1ed726f3f338722616eb62ba84a4f464ea5c39e4,change,no,1,0,retained/mixed; audit merged runtime,Test terminal journal recovery without data loss
c63683f6d6ddd6f7be8dbed328756a2db1c0437d,change,no,1,0,retained/mixed; audit merged runtime,Preserve terminal journal batches across writer faults
ee03102cafe36401e5d29314f7f16176059d27ee,change,no,1,0,retained/mixed; audit merged runtime,Test bounded terminal journal chunk allocations
534282b87d7bd1aa25f8fca65a0788cdfebb18a3,change,no,1,0,retained/mixed; audit merged runtime,Bound terminal journal chunk allocations
34dac05868e46b3cc91390f72c15708c60d55637,change,no,1,0,retained/mixed; audit merged runtime,Test every journal CLI operation path
951150abd4eb52cfc49ab65d097711f72063efe6,change,no,2,0,retained/mixed; audit merged runtime,Reject terminal attaches after host exit
0a92bc94c3ae2fddc06cd6495695c7ef74f15d27,change,no,1,0,retained/mixed; audit merged runtime,Make graphics invalidation race test deterministic
a6e27363efef8537e92922de35ea24324068aa19,change,no,7,0,retained/mixed; audit merged runtime,Sync SDK descriptors with journal catalog
4d62f5437b4dc268f14165861e67e8ff81cca430,change,no,5,1,retained/mixed; audit merged runtime,Optimize journal ingress merge representation
4c2deae7f11ce42a681bd3bc3078bcb3853e495a,change,no,1,0,retained/mixed; audit merged runtime,test(tui): require bounded journal hook workers
b1dc7b81a58c2d4eb806c0b44462b8ece54a12c5,change,no,5,0,retained/mixed; audit merged runtime,perf(tui): bound and batch journal hook delivery
c15888ffa8ca08815af27779219a3e7685717bff,change,no,1,0,retained/mixed; audit merged runtime,test(tui): require durable hook worker wakeups
4e891b94b3d405bf3ef9434569dac41a1a3d3811,change,no,2,0,retained/mixed; audit merged runtime,perf(tui): make hook completion wakeups lossless
dc9fc8a9c08cb74815979a759b3d81b7fdf9475a,change,no,12,0,retained/mixed; audit merged runtime,feat(tui): ingest native agent hooks losslessly
2e3bbb12b93894525adfeb33f0b021d4eda87735,change,no,1,0,retained/mixed; audit merged runtime,feat(tui): normalize nested agent hook envelopes
9644a6cf8951e0d0c9a624d27aab21bc02cf7c81,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reject null agent journal optionals
96c8c04f8a6e6eacbc210ca78e240677c24ce15c,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): omit absent journal ingress fields
fe86abc81a583c3496e97af20d9c52104307e3d4,change,no,4,0,retained/mixed; audit merged runtime,feat(tui): index nested agent topology
2089a1e823336bd8f92c88cd441874416bbe1873,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): make hook helper help succeed
57690dafedd1a437d92e11d93caf18c4a80ee604,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): unify agent root aliases
8faac3950384e38067f6561535ebd83acaf1950e,change,no,2,0,retained/mixed; audit merged runtime,perf(tui): bound hook dispatcher writer holds
8b951030414965d20d411e1c3cf50fe9c92d701b,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): recognize Claude hook adapter alias
8d7205bb3dcf9ed2a49b7a7b8b8d2ac7d78e5fd8,change,no,1,0,retained/mixed; audit merged runtime,test(tui): cover installed Claude hook alias
d354cba9e6a2fcf2be2d8d1ffa99a40b34bec767,change,no,45,0,retained/mixed; audit merged runtime,fix(tui): register frontend journal command
637e151e2a40233a834606af1a971e35f744b5b1,change,no,3,0,retained/mixed; audit merged runtime,fix(tui): update resource operation count
8c641eb8149782536e8f69684ae386d49ca3add7,change,no,13,0,retained/mixed; audit merged runtime,fix(tui): sync journal SDK compatibility gates
711c9392a7a02e8c2152a673c9c434fc9ac5bb0e,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): type openpty window size per platform
6e797d0767db28169b3c51d894a47f179cfafaa2,change,no,2,0,retained/mixed; audit merged runtime,test(tui): reproduce input and resize lifecycle races
18dbd62c0022bfd65c1d884b9fafa10ccd42a3f0,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce semantic destination races
a1874d37a972ccc4a61cdd06186806ef012538fe,change,no,8,0,retained/mixed; audit merged runtime,fix(tui): make terminal projections client-local and receipt ordered
6edf2570b841a42d45e7fdd705648e07659b6920,change,no,32,1,retained/mixed; audit merged runtime,Publish the Rust SDK as cmux-sdk (#9445)
249d0ff7994784c7d134a617180ccc40a139c504,change,no,3,0,retained/mixed; audit merged runtime,Include Pi session titles in notifications (#9452)
eee859d354f891a0ba4d022924b0c599e79bd05b,change,no,0,5,excluded or superseded paths,"Harden route-content equivalence against reorders, missing baselines, and install races (#9402)"
f4787432f2ebc7ead283cb29ef704086ef0e5d03,change,yes,2,0,retained/mixed; audit merged runtime,Fix INTERNAL iOS Ghostty startup crash
004d414746758e24dcc6c4ce597e5910f436eee4,change,no,5,0,retained/mixed; audit merged runtime,Rename the focused workspace group with Cmd+Shift+R (#9428)
8cc5dc4a6eb92fcd1f9b2af11572496b46f40316,change,no,4,0,retained/mixed; audit merged runtime,"Treat ""no update available"" as a success in Attempt Update (#9435)"
be6516f7048914a5a30de795ded278eb426f0aef,change,no,0,4,excluded or superseded paths,Preserve iOS workspace groups during reconnect
ea8c7a6fb884d52fc326f1c33966ef62dd95d0a9,change,no,3,0,retained/mixed; audit merged runtime,Retract recovered daemon transport errors from the workspace sidebar (#9472)
16dbad16e49e498c5831ff8a6ee40e0870f9e5e2,change,no,3,0,retained/mixed; audit merged runtime,Fix Package.resolved policy false positive on leaf local-path packages (#9470)
e733aa49546782362dc6db29a6f7b9aa54e26341,change,no,4,0,retained/mixed; audit merged runtime,Pass a valid empty MCP configuration to the auto-naming summarizer (#9473)
a2d28ba7657f8edba34a2e60bfded8a96dc9b870,change,no,4,0,retained/mixed; audit merged runtime,Keep Mobile Connect available in the command palette (#9467)
4adc8e519a9ff019f75f508347c5f5f0adcee1ec,change,no,0,8,excluded or superseded paths,iOS: diff viewer scroll momentum survives finger lift (#9257)
2141de57224c08cbfa0fa2e5b92de8de9c448c73,change,no,3,0,retained/mixed; audit merged runtime,Fix middle tab drag reordering
d35187ec47cffbe70ef42b6ce460296d10b0ca7c,change,no,1,0,retained/mixed; audit merged runtime,Pin GhosttyKit checksum for iOS startup fix (#9487)
cec7ac3fa709ec3a616f91739b8c8f906fc39eb5,change,no,3,0,retained/mixed; audit merged runtime,Suppress Pi notifications after interrupted turns (#9451)
490b45503bcdc96e722e2ae72013331d06a32887,change,no,5,32,retained/mixed; audit merged runtime,Require connected iOS dogfood launches (#9252)
97f4a5d6a3948898a3e074d21b8583d650a69460,change,no,0,8,excluded or superseded paths,Add Pi landing page and agent SEO (#9455)
9d7cc488b857483b7d498d8ef4f50c5f9c2bf048,change,no,3,0,retained/mixed; audit merged runtime,Reject unknown flags for surface resume set (#9477)
20390187fd487b76181a09923eba81615b9a523f,change,no,6,0,retained/mixed; audit merged runtime,Skip directories when resolving provider executables on PATH (#9476)
9decec52139bc75b37daaf552259512c8932dc34,change,yes,4,0,retained/mixed; audit merged runtime,Stop blank Ghostty opener stderr log bursts (#9486)
972084ddb3304a38f0da055abfd5293922cf6f9d,change,no,0,3,excluded or superseded paths,Serve cached social preview images without redirects (#9503)
c37ea7a31f899f44dfdf10211cba612c6a277d60,change,no,4,0,retained/mixed; audit merged runtime,Scope shortcut settings notifications to their config file (#9502)
e98fc16b8202eab21f9583994a6e907e72a65b77,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
d132217415b17b66a0939d5c4011bbc810dbbcf5,change,no,7,0,retained/mixed; audit merged runtime,fix(tui): preserve queued creation through terminal exit
749aacb8d3fdc075e828b9db66e33c1cc2db5b1a,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce zero-size split crash
147b10c3adbf509ec0ca1b5f56af3418d6bd6744,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): make degenerate split layout total
a1157423ecac5cd82985a8d9c0cc8fc29e7734d9,change,no,1,0,retained/mixed; audit merged runtime,style(tui): format degenerate split layout
266cfe77e189bfa20f0e529fccbb2c23e7b964d2,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/feat-terminal-multiview' into feat-cmux-tui-session-journal
64eb21554a0b905ab377d07d53fbe013556c7ad5,change,no,55,0,retained/mixed; audit merged runtime,fix(tui): specify multiview transport commands
c2dc4ffb1fccc66c79379a27868d801e1051dfaf,change,no,2,0,retained/mixed; audit merged runtime,fix(tui): reconcile stacked multiview checks
4f3be53952b93262aacf8ecbec95e7b9e376f0ab,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): make frontend journal ids cross-platform
0ccae477cfbb14e0da1776c1363e02434d48d6bd,change,no,6,0,retained/mixed; audit merged runtime,Optimize indexed journal subject catch-up
cd1c02a0c2768fc516dfd24d65986b0f5651be0d,change,no,6,0,retained/mixed; audit merged runtime,Stabilize cross-platform TUI verification
c910b38fccb3053ebefd32b32a0b94fd022943d0,change,no,4,0,retained/mixed; audit merged runtime,Stabilize journal CI under load
28428710d40946f7ab37007ecf6c4e5441644da4,change,no,1,0,retained/mixed; audit merged runtime,Test fragmented terminal host delivery
372d8afec0ec7eb4ea29dcf65eef97d360407d90,change,no,5,0,retained/mixed; audit merged runtime,Harden loaded TUI verification
ae830c381bb846609230fc155a7fcdcd5e06b4d0,change,no,1,0,retained/mixed; audit merged runtime,Test initial terminal output journaling
a23c328f58738e58f692ef7e0e23ec5c194cf383,change,no,11,0,retained/mixed; audit merged runtime,Order initial terminal output after topology
64d8bd9049981f5dc0a31aaf53affa73c758132d,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce empty startup input route
ca5980883c3437e2b935756c16aa50c28b059116,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): establish the startup input route
7693b19065db7ac240f6cd57401a39b8a9a71e24,change,yes,0,13,excluded or superseded paths,Move mobile telemetry consent into CMUXMobileCore (#9505)
37a4d212ab627756d1bed899ec7a9487ae807145,change,no,0,19,excluded or superseded paths,Translate workspace group anchor guidance across locales (#9480)
145b60e893aae299b8e4c17ae11acc24349566fa,change,no,0,20,excluded or superseded paths,Fix iOS keyboard focus ownership after photo picker (#9371)
840f8c074f4740edc2b1193fca41fd71fb7d47a5,change,no,0,3,excluded or superseded paths,Fetch complete Iroh discovery before Mac host activation (#9478)
f4cd2774de0b3895bb3d3bf255d902826c86babc,change,no,4,0,retained/mixed; audit merged runtime,Fix infinite UA-policy restart loop on Google Sheets destinations (#9483)
ed44c7daf40e7aacab2cf32ffb82628105087cbf,change,no,5,88,retained/mixed; audit merged runtime,Add model selection lab to the New Task composer (#8800)
87edd70966636d22b470473bc8a15f616ea04d1e,change,no,0,3,excluded or superseded paths,iOS: remove redundant Switch Computer settings screen (#9490)
6f99395b78ebd7cd938f39fc23d4c66019005269,change,no,13,24,retained/mixed; audit merged runtime,Focus Mac pairing QR flow on Tailscale (#9493)
d953ceda3925d2b7e469c2e7ed74c10b87623f6f,change,no,3,0,retained/mixed; audit merged runtime,Match workspace group pin tint (#9519)
a9c351be97a2be6ad234180adcf519bfb98be59d,change,no,2,0,retained/mixed; audit merged runtime,Fix Google Sheets browser identity replay loop (#9482)
72fce2fae8882d7d2f7a8850cb31b54395336ac3,change,yes,4,20,retained/mixed; audit merged runtime,Make Iroh transport diagnostics human-readable (#9485)
622d2f7cb34c85679071bb5d6a304b7dd9a095c9,change,yes,0,52,excluded or superseded paths,Move hosted Subrouter onboarding to Stack Auth (#9261)
7dcb2bfb78b7fa5450e667c268dc0a0ae904f3e8,change,no,8,0,retained/mixed; audit merged runtime,Restart the last terminal when quit is cancelled (#9492)
62f52ccff85b599491953ba2f70608b0ec98a43c,change,no,5,0,retained/mixed; audit merged runtime,Fix Pi fork probes without slowing Pi hooks (#9549)
bcfc0b5028eae2b907ba4ee3ee6adb6408acce5a,change,no,0,3,excluded or superseded paths,Make the mobile browser stream self-healing (#9498)
7cbc6301bda81469d727a6fcb113ff43dc6d3527,merge topology,no,0,0,topology; see constituent changes,Merge remote-tracking branch 'origin/main' into feat-terminal-multiview
6610c7a4158e27d5459cb7825e349cfa0e3ee8a1,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): keep smoke terminals process-owned
999ee8451195e448ed79d3e75cfb01971228b7a3,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce burst input loss
853707a627add6ece92a5f2ef87e7ba828b9407c,change,no,2,0,retained/mixed; audit merged runtime,test(tui): reproduce missing size lease release loop
188064ff349ff6c7b62550406b792a05fe41ca39,change,no,2,0,retained/mixed; audit merged runtime,fix(tui): make view size release idempotent
915608e83cbec3b53eb6938f45c4c82b46bb0336,change,no,2,0,retained/mixed; audit merged runtime,test(tui): reproduce stale attachment resize failure
29151156a9cc0db12606b5418da5700cba24df4a,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): supersede stale attachment resizes
0c1d45be75e8b116388d986ecf6fd591c64852df,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): retain host input under mutation bursts
371151dfbcf30276b2e03860483a944e9d47e71b,change,no,2,0,retained/mixed; audit merged runtime,test(tui): reproduce multiview projection leaks
83f024d3da8c703f894cd6efd29c458fe1eb8983,change,no,3,0,retained/mixed; audit merged runtime,fix(tui): isolate backend view projections
db67e7b5ca25194091a82add539f4d839e7e3e53,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce retired attach lease leak
cd66b9211a5ac98089614e852b6df10fcf31a714,change,no,2,0,retained/mixed; audit merged runtime,fix(tui): release retired view attachments
50b7dc7ee5e75b6f9f2a73051b4f331d952070b1,change,no,1,0,retained/mixed; audit merged runtime,fix(tui): restore projection viewport state
2842bc11bdd9e8a3fe90a64f5a7228c22546e7cc,change,no,1,0,retained/mixed; audit merged runtime,test(tui): reproduce boxed request schema omission
6e6a292ebdd437c3d2c806978feaeb4c65dc5286,change,no,57,0,retained/mixed; audit merged runtime,fix(tui): publish multiview control contracts
1cee402d7ddec4f94d152eefc560a8448bbecb48,change,no,0,1,excluded or superseded paths,Stabilize hosted tenant capability payload (#9556)
70481686e980e76c7cb9a04995fd35067a6a8861,change,no,0,0,excluded or superseded paths,CmuxNotifications: unbreak the test target so its 66 tests run (#8642)
ee23ff9abf6ba86b865e266d7d6fabf4fbfa3f3e,change,no,2,0,retained/mixed; audit merged runtime,Fix four unsatisfiable tests in the sidebar git suites (#8723)
b46dcb71c1eeb2e2f6d9ba7a825c039badd70498,change,no,6,0,retained/mixed; audit merged runtime,fix: recover ssh-tmux sizing after peer detach (#9530)
523783ef6ab9e391e765fa24f98335c1055a44dc,change,no,1,0,retained/mixed; audit merged runtime,command palette: index a branch short name as one searchable token (#8578)
202908a2781a187bbb688bd19f874da346cbf0fa,change,no,0,2,excluded or superseded paths,Reject non-canonical (leading-zero) IPv4 spellings when classifying Tailscale peers (#8572)
197ede721e06d3509238f37312893f7a7f573b2b,change,no,1,0,retained/mixed; audit merged runtime,tests: build the file-preview text view the way the product does (#8719)
445db7fe9d02c3d4bf86f920e83668868502c770,change,no,1,0,retained/mixed; audit merged runtime,Skip an inherited terminal surface the registry no longer owns (#8656)
af84599869406f8a188ce3f38534beedec7f61e9,change,no,2,0,retained/mixed; audit merged runtime,"cmuxTests: expect composited terminal colours, and the menu flag the grouping test needs (#8509)"
2ed7358e9251d0f63700489c9739d4b2959be78c,change,no,2,0,retained/mixed; audit merged runtime,cmuxTests: stop a blocking wait helper from shadowing the pumping ones (#8725)
7c715a4123ce3431ccca3e72974f8043a1052636,change,no,1,0,retained/mixed; audit merged runtime,Exercise stale inherited surface after cached font lineage (#9571)
71fb52ce6341a05d79f2842232593dc0adf5f83b,change,no,1,0,retained/mixed; audit merged runtime,remote-tmux: parse a session list that arrives with CRLF line endings (#8704)
007fe3527a5cda318240303fe673d0f65d215223,change,no,1,0,retained/mixed; audit merged runtime,Pin four unread session-restore tests to the model the product implements (#8798)
91df18db5cbf99f47b235fdc99b32081711e2d7c,change,no,3,0,retained/mixed; audit merged runtime,tests: stop three fixtures from killing the test host on window close (#8701)
0a68bbee3583cb4a5ac4dc17aeac1f10f091e60f,change,no,1,0,retained/mixed; audit merged runtime,remote-tmux: convert CLI tab-reorder final position to a bonsplit insertion gap (#8600)
8c9ee247a0b6521b8998c221d4c34cad1ee15ed1,change,no,1,0,retained/mixed; audit merged runtime,file-explorer: drop cancelled loads before they list a stale path (#8595)
d3eeacf0b3d41464b22dbf24f43e08e4cbbc9ffb,change,no,1,0,retained/mixed; audit merged runtime,CMUXProjectModel: find the worktree root instead of counting directories (#8641)
3a8705467a265b073d44de5b17b9b658b1e9930d,change,no,0,30,excluded or superseded paths,Add per-version changelog pages (#9543)
a76deb63e03d00d2e2972c8c9af7f9f3f5e932bc,change,no,1,0,retained/mixed; audit merged runtime,Close only the workspaces a tab manager actually owns (#8753)
07dd5a1cd9f6ae0a912ed37febe46a33a49a98b4,change,no,1,0,retained/mixed; audit merged runtime,"A fake WKNavigation was killing the test host, hiding a whole suite (#8633)"
7081a2326198450e440207e22861958c76206c68,change,no,1,0,retained/mixed; audit merged runtime,tests: update the remote-tmux resolver assertion to the shared builder's argv (#8550)
a77df5a35edf16781cb51f39a38c60308ec2e6ff,change,no,2,0,retained/mixed; audit merged runtime,cmuxTests: unbreak the build and re-sync the remote-tmux reorder/targeting suites (#8427)
27da2328b3216ca4b12aedb5985792f339234842,change,no,3,0,retained/mixed; audit merged runtime,Default test-process windows to releasedWhenClosed = false (rebase of #7768) (#8832)
85fe23c44e282ba1c7365b09f5a4c35de2cef21c,change,no,0,5,excluded or superseded paths,CmuxAuthRuntime: wake the sign-in test waits on an event (#8644)
64f7726b4f41271cb3cfa7a2b539c4d8e1dc2fa3,change,no,1,0,retained/mixed; audit merged runtime,tests: stop the portal first-reveal fixture from killing the test host (#8689)
e4bd9695d1d5b565e2e838c0d9290c44562e31ff,change,no,1,0,retained/mixed; audit merged runtime,Show git status in the file explorer for repos reached through a symlink (#8577)
b959519136687ae32f81d1e77ac1158ae054c0c1,change,no,1,0,retained/mixed; audit merged runtime,cmuxTests: stop the shortcut routing suite from taking the test host down (#8635)
